,dvvmethod,modelcase,freqband,a0,p1,a_{precip},p2,t_{shiftdays},S1,log10tmin1,log10tmax1,S2,log10tmin2,log10tmax2,b_{lin},logf,AIC,BIC,residu_absmean,residu_var
BP.CCRB-BP.CCRB,mwcs,base,0.9-1.2,0.0007764755005065154,0.0007421398680240664,0.0006408430048709945,0.000318677282006814,4.013247251491151,0.012294598001705258,3.990414008365024,8.616642449425838,0.02628092498703445,7.056926712439742,8.472248291381154,,-3.6370943983643054,-8253.741733989204,-8203.238653676044,0.01741250311197335,0.0006390652279476946
BP.CCRB-BP.EADB,mwcs,base,0.9-1.2,-0.010202008106299197,0.0013583272281418356,0.0006212604252530958,0.0008982564554720903,4.199021942473689,0.015295560778744837,6.777016655862644,7.722794758985889,0.04033263170644388,6.890972899246951,8.334219786548005,,-3.4392817147734576,-8077.224971731569,-8026.7218914184095,0.02125625214915278,0.0009391220169123933
BP.CCRB-BP.JCSB,mwcs,base,0.9-1.2,0.0006084558289089388,-0.0015518486241597688,0.3666696446711072,-0.0006935137400971555,33.65680014191396,0.004410977111280225,1.2501146276827884,8.982540275605945,0.028133781730536316,7.818394049093863,8.609128024709168,,-2.646021426862385,-7305.164513818289,-7254.66143350513,0.04598346792526177,0.0049802661935759145
BP.CCRB-BP.LCCB,mwcs,base,0.9-1.2,-0.007080371688243109,0.0015826848114068434,0.0005759652760833941,0.0005816247576609507,16.97714622123734,0.012624451099526797,6.565631315718002,8.153696433479228,0.030049553402396536,6.957922368895647,8.30111634701,,-3.6335699148475036,-8248.121263989327,-8197.618183676168,0.01808283386903089,0.0006705544837409684
BP.CCRB-BP.MMNB,mwcs,base,0.9-1.2,-0.006584838425392901,0.0014008017573996856,0.000558286769475409,0.0005631808013037411,9.134856137158263,0.006115881531197048,7.216521225793858,7.746111272571939,0.0536241103274057,7.264307996631239,8.329154511483793,,-3.5004058706952965,-8167.171501498328,-8116.668421185169,0.017750447710945437,0.0008205403009619383
BP.CCRB-BP.SCYB,mwcs,base,0.9-1.2,-0.002134122143191095,-0.004872868433861245,0.6638036451127002,0.0006499794661490718,15.711970950893472,0.01902441532654425,7.287151584976616,8.24145817276932,0.15692311301160633,7.894623111314848,8.144646798675248,,-3.707719566670718,-8313.256458180002,-8262.753377866842,0.01592903060426512,0.0005868503483563036
BP.CCRB-BP.SMNB,mwcs,base,0.9-1.2,-0.0003284951848085676,0.0009709554958776113,0.0005919604959645204,0.0004078034024541918,127.1815352122255,0.013657241327976948,6.862969212266579,8.270372595705242,0.032415917327938686,6.50586735961137,8.275512526821936,,-3.83860584858103,-8452.02418081457,-8401.52110050141,0.01580077202439024,0.0004582864924046547
BP.CCRB-BP.VCAB,mwcs,base,0.9-1.2,0.001667888974085827,0.002510533584000628,0.7150859954195852,0.0010475073340048885,0.18709087802261637,0.014007695954309446,6.760186946385836,8.727990259781741,0.030286778815225616,7.009694869801886,8.324825088596256,,-3.512477843980923,-8107.904298932495,-8057.401218619336,0.019002158242666923,0.000899104800555855
BP.EADB-BP.EADB,mwcs,base,0.9-1.2,-0.0033910627823232698,0.0011757835103847285,0.00039770484797369227,0.0003451730389976859,82.03276173930891,0.017290656898876506,4.609160689806936,7.8515933902107795,0.10319741203914605,7.8331230913896235,8.177159833903193,,-3.3368759316005416,-7881.034687855577,-7830.531607542418,0.02616229637156047,0.0012418717675276136
BP.EADB-BP.FROB,mwcs,base,0.9-1.2,0.001751635187676799,-0.003636361504524486,0.016025821266048457,-0.00039032848319654105,12.990236368409589,0.018279526370900495,6.796793671571117,7.6492803859392,0.21977208522525518,7.95015724496485,8.114395497356645,,-2.7009773637833434,-7328.63078753864,-7278.127707225481,0.04796317142309038,0.004544616443670396
BP.EADB-BP.GHIB,mwcs,base,0.9-1.2,-0.013156942941654936,0.0027742613231906,0.0005367149614981402,0.002521713608978082,25.634127325974838,0.0287181238343072,6.648173087819771,8.237062211696909,0.15441712071165986,7.775479481555984,8.105389817281077,,-3.085002884524091,-7692.538659070102,-7642.035578756942,0.03330229038186206,0.002064911769040504
BP.EADB-BP.JCNB,mwcs,base,0.9-1.2,-0.03189874386369133,0.0021921131028853126,0.00044234071554767303,0.0010145000104095961,21.119533264512903,0.002651897985024602,2.435153092681586,8.119511199787315,0.021471980446292508,7.773315006958539,8.240640777978403,,-2.5749817062294644,-7241.445386553349,-7190.942306240189,0.05877071122967245,0.005900177274535521
BP.EADB-BP.JCSB,mwcs,base,0.9-1.2,0.01130734932275873,0.008596575673302374,0.6649578104170224,0.0008445561535532555,0.2430304122411968,0.039682432545894285,7.970717370486028,8.463399204101485,0.0899468469742964,7.923274598208444,8.13071268693633,,-2.7957151354961765,-7332.666215082503,-7282.163134769344,0.04523210345132285,0.0037969274338580552
BP.EADB-BP.LCCB,mwcs,base,0.9-1.2,-0.0037210515081011917,0.0009282619187485645,0.0005017852702451921,-0.0001276045631897755,171.5127684840009,0.021508646273228862,7.193486820924027,7.819446456469289,0.1578875355597917,7.891890763994108,8.133198131387752,,-3.407630217547822,-7946.35783676435,-7895.854756451191,0.02361032748352679,0.0011018439010632205
BP.EADB-BP.MMNB,mwcs,base,0.9-1.2,-0.01687848230584142,0.002378513598984722,0.00037756506567003306,0.0014494865233262294,42.973430294104226,0.00571700681388247,7.469817361804065,8.197652719159489,0.17248510100642622,7.749006350604112,8.05383539171297,,-3.6312405513888324,-8174.605489828773,-8124.1024095156135,0.018552062545429748,0.0007402200842147045
BP.EADB-BP.SCYB,mwcs,base,0.9-1.2,0.0027687139742871613,0.0006478217609230189,0.0009702223228781892,0.0008777517623502086,27.78502951839581,0.018388629871820855,7.3828111654737745,8.510653810760358,0.09755617827231133,7.76814008952379,8.23969796691088,,-3.371952781144444,-7958.482794301149,-7907.979713987989,0.021134409862162074,0.0011004713899943545
BP.EADB-BP.SMNB,mwcs,base,0.9-1.2,-0.006613669870895542,0.004369338770435618,0.3809922101293537,0.0009475510296530346,9.340658340540775,0.06973078668364174,7.83427914269768,8.153321686219227,0.4633260506850423,7.890919765733771,8.000347371776066,,-3.195605059965375,-7762.019836664311,-7711.516756351151,0.02705762018081573,0.0016869503077919334
BP.EADB-BP.VARB,mwcs,base,0.9-1.2,0.01351011546788493,-0.0068508651662603955,0.7290365912845066,1.5957210594763453e-05,162.84395737183328,0.029882088307533857,6.6129853085622035,7.774624847113733,0.11376709443747665,7.740094511027414,8.296492551006645,,-2.9696785152628653,-7667.067635746883,-7616.564555433723,0.03537080812504498,0.0026558440067986737
BP.EADB-BP.VCAB,mwcs,base,0.9-1.2,-0.016830534988835473,0.001961869129634918,0.0005190057316724995,0.00037447171471279527,149.74077189958237,0.036353414221985576,7.275739341607449,7.960656448274339,0.22982725005515098,7.8160696264747616,7.990448858058715,,-3.474836467800856,-8039.715629864534,-7989.212549551375,0.019893694957590666,0.0009364953138578889
BP.FROB-BP.GHIB,mwcs,base,0.9-1.2,-0.012136324818658062,0.0027514900368830735,0.0008676652834435027,0.0016888718421631972,115.80311171062344,0.030139968592098505,3.4359012261115613,8.110497538560017,0.14162621900524802,7.683376669604637,7.944623054788603,,-2.9002267703558613,-7568.285522397167,-7517.782442084008,0.03964589871798675,0.0031277639073399865
BP.FROB-BP.JCSB,mwcs,base,0.9-1.2,0.02258588807468541,0.001187335730824416,0.14065877620241818,-0.001658908124471969,113.77317779427777,0.006500364289805553,-0.4856710041624674,8.092112826937775,0.016024961723432804,7.976794629280198,8.672408452455684,,-2.590730879119731,-7222.940222916231,-7172.437142603071,0.050892164812299294,0.005537299155773279
BP.FROB-BP.LCCB,mwcs,base,0.9-1.2,0.018300259096590683,-0.0026577944760263015,0.0034714990305738658,-0.001941528399935959,153.035625708245,0.023308942234133594,-0.4924296121380225,7.5888366554656645,0.3057560868228715,7.750068244166941,7.82357261840613,,-2.7830874014024167,-7370.43247084128,-7319.92939052812,0.045071943100980255,0.004098189301745278
BP.FROB-BP.MMNB,mwcs,base,0.9-1.2,-0.0002508132709224618,0.016099003769167272,0.3641563740792505,-0.0003433336798277776,152.8629241125393,0.012803500216004913,-0.9769478441988373,8.373780025663619,0.1659631665668894,7.666086549727849,7.952512188778145,,-3.2406658034456663,-7900.622299566661,-7850.119219253502,0.029013701623322074,0.00158011149351249
BP.FROB-BP.SCYB,mwcs,base,0.9-1.2,0.020299189421419138,0.007516560402406662,0.8010177569521524,0.0008339608423392735,2.5767717058976345,0.008835591507414304,0.22988282673708127,10.024588628634676,0.06051980450743706,7.39532514365226,8.03994665093708,,-2.790977847812301,-7472.425101075213,-7421.922020762054,0.042946857747900025,0.0037191993110157265
BP.FROB-BP.SMNB,mwcs,base,0.9-1.2,0.02969816217076449,-0.00402806741924729,0.0007719230978657383,-0.0016612096025034845,28.889812648298705,0.00888614950298034,2.0070704876277703,8.860582715826961,0.028011745223360203,7.510288055577376,7.6654233615520955,,-2.674860224605737,-7280.4372456529,-7229.9341653397405,0.05043309764556861,0.005057199247879239
BP.FROB-BP.VARB,mwcs,base,0.9-1.2,0.039044419611711685,-0.0019070447386946082,0.0001204408121900924,-0.0018731844566968739,72.81434383579855,0.0007712504833227856,5.4088756517539665,8.583568720594604,0.009158618776285179,2.383662358403142,10.185690411062465,,-2.3793335056091784,-7132.219420423529,-7081.71634011037,0.06367664764263176,0.008085862832050416
BP.FROB-BP.VCAB,mwcs,base,0.9-1.2,0.0011361799088847914,0.002870232816180341,0.1372658141763406,0.001246638792639086,27.05015672857725,0.030041017355367957,7.411787325446827,8.317934738855875,0.1763627156149307,7.7546511868167,7.98429168216889,,-2.7720011850734747,-7430.517704963512,-7380.014624650353,0.04445349628849639,0.003794812516758262
BP.GHIB-BP.GHIB,mwcs,base,0.9-1.2,-0.010473377334268497,0.003970122522113122,0.0006271960440815208,0.00249043102898476,17.012708016285558,0.130364391305514,7.955540648016791,8.272431198068219,0.4159035825228241,7.970156435359241,7.978948981172239,,-2.670441457115784,-7245.788369448546,-7195.285289135387,0.04962342809587141,0.005061502971829973
BP.GHIB-BP.JCSB,mwcs,base,0.9-1.2,-0.0036242011284695853,0.003318583808569943,0.0004656474216775034,0.002281814523041898,86.69754729630273,0.0052402389064039635,3.308937829537195,8.383283409144546,0.034509420797274364,7.895806053002081,8.505087015548577,,-2.9486782152879405,-7528.562962396722,-7478.059882083562,0.04010068853987141,0.0029190324158755226
BP.GHIB-BP.VARB,mwcs,base,0.9-1.2,0.02970403152672636,0.0020941929721326738,0.00014125103510943376,-0.001453896462166056,59.67146657989586,0.015346940429859712,5.283855391822309,9.789107905065581,0.03759075068242245,7.445955491813854,8.512317612842288,,-2.58927767913642,-7309.824556406613,-7259.321476093453,0.05677027335175013,0.005617468739470615
BP.JCNB-BP.JCSB,mwcs,base,0.9-1.2,-0.013028984515577633,0.005030713007237033,0.7320863537854322,0.0025066299637532896,103.59803890376102,0.00015430329363484317,-0.9478610003213359,8.288405981758217,0.0189828032653057,0.27898480646193713,7.977257434576115,,-2.421012831294908,-7128.886592110768,-7078.383511797609,0.06515926833693524,0.007975734219738346
BP.JCSB-BP.JCSB,mwcs,base,0.9-1.2,0.007402114352573445,-0.0012696604886562137,0.0012648284798277708,0.0022799605309949227,152.70510197061427,0.00015285067663038993,0.04359809094347944,11.33647644391433,0.0034620187777854063,3.339778123451517,8.133660281777846,,-2.746510643951547,-7295.749853622854,-7245.246773309695,0.04569566895038563,0.004249246134796439
BP.JCSB-BP.LCCB,mwcs,base,0.9-1.2,-0.003063712772181337,-0.0013139584459434094,0.7855812157537223,-0.00034335517289724936,68.0310122093111,0.009121623246213918,7.939853264760606,8.650035265841883,0.04994634908296676,7.967067879553066,8.384312284649319,,-2.854979960073958,-7416.775503523358,-7366.272423210198,0.03990447566277712,0.0033266293941999407
BP.JCSB-BP.MMNB,mwcs,base,0.9-1.2,-0.002750292739913779,0.008043057869960811,0.8739563445931388,0.0014219812616760115,33.92337820060011,0.0028488127667072064,6.906984831964632,8.555056677107588,0.5524695953771045,7.757909273033832,7.843554756015331,,-3.0013997115415214,-7597.270247371958,-7546.767167058799,0.03382919562131404,0.0024668781149200783
BP.JCSB-BP.SCYB,mwcs,base,0.9-1.2,0.006613094068035398,-0.0024036881372042893,0.5211789073290214,4.174530145701591e-05,30.081802191920183,0.000785146102897847,2.7358651058151855,8.80703234236741,0.025338138069900363,7.773852733485447,8.711904000521027,,-2.850880992031107,-7460.832640266685,-7410.329559953526,0.04132690820880122,0.003360938236405879
BP.JCSB-BP.SMNB,mwcs,base,0.9-1.2,0.012172239608458457,-0.013392494367763016,0.31778370645323284,-0.00018137959954897585,85.64997717980027,0.016385501788658153,6.688727276670302,8.249769872872399,0.11946185096617523,7.833077827231664,8.063367108756081,,-2.827507552844987,-7406.13610658649,-7355.633026273331,0.04344070327876587,0.003648781194078929
BP.JCSB-BP.VARB,mwcs,base,0.9-1.2,-0.01382510639609631,0.01186201205354868,0.5990383426575903,-0.0024751187732599245,150.55412667653124,0.0016939966156940657,1.231264670973475,8.851620796012954,0.013069387797271256,0.36523638039463197,7.543146386640536,,-2.4073990239448597,-7114.494198799584,-7063.991118486425,0.0675548847045469,0.008188402279902831
BP.JCSB-BP.VCAB,mwcs,base,0.9-1.2,-0.010514875408772524,-0.0005970827732273568,0.7375499167657336,0.00090748820121627,160.74894106197178,0.022319453368021335,4.010968495481415,7.648583173114543,0.18494221950018902,7.65641074892547,7.8206130621541,,-2.813632796374535,-7393.726884727699,-7343.22380441454,0.040392950439129535,0.0036015307456006
BP.LCCB-BP.LCCB,mwcs,base,0.9-1.2,-0.003271587727627718,0.001868121374197092,0.0003484036460161245,0.0010400810541995923,4.981824520515914,0.03220391596644665,5.505114281661461,7.6793335784168395,0.12848058535908308,7.962924994792188,8.29899761808232,,-3.174913863628949,-7710.045224532078,-7659.542144218918,0.031188824519141626,0.001766115173838303
BP.LCCB-BP.MMNB,mwcs,base,0.9-1.2,-0.010446207866374532,0.001406610718530544,0.0003475699378350507,0.0007199336946582939,78.83967401368176,0.00018325587153891453,5.690795252703421,8.503611108411201,0.055699782703791396,7.21018924840628,8.203341576729292,,-3.5695623763673767,-8131.538800389004,-8081.035720075844,0.019141321340213006,0.0008064919358103903
BP.LCCB-BP.SCYB,mwcs,base,0.9-1.2,0.000448293755047907,-0.0036373956188053085,0.03635320052367541,0.0006527683207639914,3.0787182444335643,0.040468772636836084,7.918310977137628,8.249640894122185,0.13617417940242543,7.92664102482119,8.20278387283611,,-3.568804486855336,-8125.9919634023245,-8075.488883089165,0.018773428763180677,0.0007871791034170678
BP.LCCB-BP.SMNB,mwcs,base,0.9-1.2,0.010748719967774038,0.0015717186294386528,0.004995661791430878,0.000659426513123233,13.240473786274002,0.02224248598745764,7.8343642050785816,8.786446915117066,0.6163658107394627,7.503238100582465,7.5634675451771765,,-3.609720825944092,-8199.227151763933,-8148.724071450773,0.019684834757035297,0.0006995257046230849
BP.LCCB-BP.VARB,mwcs,base,0.9-1.2,0.00900067217396541,-0.005832052039494083,0.9400263928304061,-0.0019713203569893733,141.52120326590213,0.00044556156901887377,-0.5976274204522669,8.751221740170015,0.060012295147978616,7.80545085818746,8.411266909960608,,-2.8502850976629976,-7543.626091392753,-7493.123011079593,0.04154433930121382,0.003395098810455715
BP.LCCB-BP.VCAB,mwcs,base,0.9-1.2,-0.0066326625312087524,0.0007438622429907071,0.00039706337745112896,0.0005981447332349401,10.054498246246004,0.009850709227868966,4.407106278506686,8.52529938154805,0.08095791789527634,7.296193598882343,7.983905978838895,,-3.2895465650197795,-7867.988834293719,-7817.48575398056,0.02275041751538022,0.0013313877249631944
BP.MMNB-BP.MMNB,mwcs,base,0.9-1.2,0.005980096011496069,0.00039443344414626796,0.0005900137294856142,0.00040306274539933496,19.60385240699993,0.03346401274484427,7.632725893869997,8.32315668620686,0.18353264861351293,7.970266979388119,8.236873578837113,,-3.370242510405853,-7964.108006358666,-7913.6049260455065,0.023708644537039067,0.0011378082734972803
BP.MMNB-BP.SCYB,mwcs,base,0.9-1.2,0.0012293743354301757,0.00044616485808962435,0.0002877462011006942,0.0013338037337630743,9.730858345482195,0.0110766781502382,6.998914403116458,8.315210039508322,0.0970646583499983,7.885085771401702,8.316034386434593,,-3.691480665828334,-8258.571177255337,-8208.068096942177,0.016956499259848955,0.0006340782589602529
BP.MMNB-BP.SMNB,mwcs,base,0.9-1.2,0.009008183874206842,0.000893279767125677,0.0003763812866113547,0.0009657390844480796,7.481294828628805,0.011750696046833483,2.130531186156676,8.665115484245318,0.02624816913028158,6.821553071202403,8.658094710185097,,-3.5813210515076683,-8188.4402489704335,-8137.937168657274,0.019342877593354197,0.0007484179444816281
BP.MMNB-BP.VCAB,mwcs,base,0.9-1.2,-0.005580408072270792,0.0010168202710628504,0.0003975921341883329,0.000834668642811613,8.490949272685356,0.011984029566143957,7.161070675017853,8.532698624898606,0.03449406220357086,6.692178992514685,8.406766082752997,,-3.452575844902567,-8108.103655165237,-8057.600574852077,0.02024184945184848,0.0008668158457592139
BP.SCYB-BP.SCYB,mwcs,base,0.9-1.2,0.01542733673087842,-0.003891190519617086,0.21510157513033756,0.001470948272429835,6.003143459827626,0.01586428346803393,7.8351213874184396,8.765192228436486,0.06977505215693856,7.9526650679113935,8.54856183520618,,-3.4284765035097347,-8000.576650675081,-7950.073570361921,0.022422042790286242,0.0010109663773753704
BP.SCYB-BP.SMNB,mwcs,base,0.9-1.2,-0.003155842263383289,0.0009825985352181982,0.00036361651706944735,0.0014769256687610104,10.627595900344957,0.008561348539325192,6.591823275980007,8.488596348142362,0.03680795446765399,7.050233538416089,8.252014198011617,,-3.720235169605395,-8318.89231666567,-8268.38923635251,0.01702648565873359,0.0005548685591333554
BP.SCYB-BP.VCAB,mwcs,base,0.9-1.2,0.005554602468681482,0.000652621886194537,0.00037237765680531165,0.0012572059653458377,24.77801826942226,0.014456873918641495,6.844885299713214,8.74664196899154,0.0342563370785231,7.008006288101561,8.358506756605859,,-3.5686003399317157,-8150.128996834598,-8099.625916521439,0.017850978862435113,0.0007726051214522858
BP.SMNB-BP.SMNB,mwcs,base,0.9-1.2,0.010338572777623057,0.0038509166668070035,0.00893499209547211,0.0012314072309720652,3.6871819305721347,0.012291422037064398,7.225171201142485,8.544630158052772,0.04036563158839439,0.08591202190229286,7.845536643696982,,-3.24811763637364,-7794.802732166433,-7744.299651853274,0.02978139553656554,0.001562387631884454
BP.SMNB-BP.VARB,mwcs,base,0.9-1.2,0.015076243002603216,-0.014839089527959027,0.2744519376838106,0.0015166444232016883,178.55807140301272,0.00932905086286598,0.6286934187708515,8.397081380536767,0.02547259692211504,6.497119684704861,8.671328900793444,,-2.832673612041196,-7565.861875665859,-7515.358795352699,0.041463928789739916,0.003438016330883607
BP.SMNB-BP.VCAB,mwcs,base,0.9-1.2,-0.004272600424206191,0.0025648477955272967,0.0006888481512201223,0.0012830694275882566,1.6189169696023014,0.011443400467088052,5.8436162515799,8.264063642998602,0.0670303139103605,7.065769692339844,7.748899743002114,,-3.3439080235967893,-7909.178756538387,-7858.675676225227,0.024613017013537766,0.001252454711975483
BP.VARB-BP.VARB,mwcs,base,0.9-1.2,0.03563025820376392,-0.001148958329866466,0.7463982672442688,0.0008029279139882815,30.85490688005116,0.0006346411734987466,6.357739807832954,10.388894025906573,0.02694217615748272,7.748347288286181,8.831011431701022,,-2.357442706192883,-7068.907847067722,-7018.404766754563,0.07116991795813782,0.008798985782051303
BP.VCAB-BP.VCAB,mwcs,base,0.9-1.2,-0.006571529594988617,0.0017535614163853807,0.0005755903830557378,-0.00024261788629428296,123.60340878128693,0.011879585081227065,6.366143988740195,8.409422589125187,0.22646475519080272,7.564686920958656,7.775003623562976,,-3.4923725063068467,-8071.05243190357,-8020.549351590411,0.0223570807704447,0.0008848495115049278
